trade_id,entry_bar,exit_bar,entry_time,exit_time,direction,size,entry_price,exit_price,hold_bars,gross_pnl,commission,slippage_cost,net_pnl,entry_signal,exit_reason
18,280,287,2024-05-02 15:10:00+00:00,2024-05-02 15:45:00+00:00,LONG,10,17556.0,17525.75,7,-605.0,25.0,10.0,-640.0,toxic_cont,time_exit
19,304,305,2024-05-02 17:10:00+00:00,2024-05-02 17:15:00+00:00,LONG,10,17577.5,17579.0,1,30.0,25.0,10.0,-5.0,toxic_cont,time_exit
20,307,309,2024-05-02 17:25:00+00:00,2024-05-02 17:35:00+00:00,LONG,10,17604.75,17587.0,2,-355.0,25.0,10.0,-390.0,toxic_cont,time_exit
21,327,329,2024-05-02 19:05:00+00:00,2024-05-02 19:15:00+00:00,LONG,10,17682.0,17658.75,2,-465.0,25.0,10.0,-500.0,toxic_cont,time_exit
22,333,334,2024-05-02 19:35:00+00:00,2024-05-02 19:40:00+00:00,LONG,10,17641.0,17626.75,1,-285.0,25.0,10.0,-320.0,toxic_cont,time_exit
23,338,343,2024-05-03 13:30:00+00:00,2024-05-03 13:55:00+00:00,SHORT,10,17939.25,17999.25,5,-1200.0,25.0,10.0,-1235.0,toxic_rev,time_exit
24,344,345,2024-05-03 14:00:00+00:00,2024-05-03 14:05:00+00:00,SHORT,10,17940.5,17949.75,1,-185.0,25.0,10.0,-220.0,toxic_rev,time_exit
25,348,363,2024-05-03 14:20:00+00:00,2024-05-03 15:35:00+00:00,LONG,10,17931.0,17980.75,15,995.0,25.0,10.0,960.0,toxic_cont,time_exit
26,366,367,2024-05-03 15:50:00+00:00,2024-05-03 15:55:00+00:00,LONG,10,17997.25,17986.25,1,-220.0,25.0,10.0,-255.0,toxic_cont,time_exit
27,386,387,2024-05-03 17:30:00+00:00,2024-05-03 17:35:00+00:00,LONG,10,17984.0,17991.5,1,150.0,25.0,10.0,115.0,toxic_cont,time_exit
28,393,394,2024-05-03 18:05:00+00:00,2024-05-03 18:10:00+00:00,LONG,10,18013.25,18012.0,1,-25.0,25.0,10.0,-60.0,toxic_cont,time_exit
29,414,416,2024-05-03 19:50:00+00:00,2024-05-06 13:30:00+00:00,LONG,10,18006.25,18068.75,2,1250.0,25.0,10.0,1215.0,toxic_cont,time_exit
30,418,422,2024-05-06 13:40:00+00:00,2024-05-06 14:00:00+00:00,LONG,10,18085.75,18098.0,4,245.0,25.0,10.0,210.0,toxic_cont,time_exit
31,450,451,2024-05-06 16:20:00+00:00,2024-05-06 16:25:00+00:00,LONG,10,18079.75,18088.75,1,180.0,25.0,10.0,145.0,toxic_cont,time_exit
32,475,476,2024-05-06 18:25:00+00:00,2024-05-06 18:30:00+00:00,LONG,10,18147.0,18140.0,1,-140.0,25.0,10.0,-175.0,toxic_cont,time_exit
33,491,494,2024-05-06 19:45:00+00:00,2024-05-07 13:30:00+00:00,LONG,10,18162.0,18226.0,3,1280.0,25.0,10.0,1245.0,toxic_cont,time_exit
34,496,501,2024-05-07 13:40:00+00:00,2024-05-07 14:05:00+00:00,LONG,10,18220.0,18199.25,5,-415.0,25.0,10.0,-450.0,toxic_cont,time_exit
35,511,512,2024-05-07 14:55:00+00:00,2024-05-07 15:00:00+00:00,LONG,10,18250.5,18244.25,1,-125.0,25.0,10.0,-160.0,toxic_cont,time_exit
36,574,575,2024-05-08 13:40:00+00:00,2024-05-08 13:45:00+00:00,LONG,10,18124.25,18154.75,1,610.0,25.0,10.0,575.0,toxic_cont,time_exit
37,576,579,2024-05-08 13:50:00+00:00,2024-05-08 14:05:00+00:00,LONG,10,18157.25,18161.75,3,90.0,25.0,10.0,55.0,toxic_cont,time_exit
38,582,583,2024-05-08 14:20:00+00:00,2024-05-08 14:25:00+00:00,LONG,10,18194.5,18204.0,1,190.0,25.0,10.0,155.0,toxic_cont,time_exit
39,593,594,2024-05-08 15:15:00+00:00,2024-05-08 15:20:00+00:00,LONG,10,18183.25,18181.25,1,-40.0,25.0,10.0,-75.0,toxic_cont,time_exit
40,609,610,2024-05-08 16:35:00+00:00,2024-05-08 16:40:00+00:00,LONG,10,18168.25,18166.25,1,-40.0,25.0,10.0,-75.0,toxic_cont,time_exit
41,614,615,2024-05-08 17:00:00+00:00,2024-05-08 17:05:00+00:00,LONG,10,18172.25,18162.75,1,-190.0,25.0,10.0,-225.0,toxic_cont,time_exit
42,638,639,2024-05-08 19:00:00+00:00,2024-05-08 19:05:00+00:00,LONG,10,18165.0,18166.5,1,30.0,25.0,10.0,-5.0,toxic_cont,time_exit
43,650,653,2024-05-09 13:30:00+00:00,2024-05-09 13:45:00+00:00,SHORT,10,18178.0,18114.75,3,1265.0,25.0,10.0,1230.0,toxic_rev,time_exit
44,654,660,2024-05-09 13:50:00+00:00,2024-05-09 14:20:00+00:00,LONG,10,18140.75,18160.75,6,400.0,25.0,10.0,365.0,toxic_cont,time_exit
45,663,665,2024-05-09 14:35:00+00:00,2024-05-09 14:45:00+00:00,LONG,10,18204.5,18204.0,2,-10.0,25.0,10.0,-45.0,toxic_cont,time_exit
46,666,667,2024-05-09 14:50:00+00:00,2024-05-09 14:55:00+00:00,LONG,10,18220.75,18210.5,1,-205.0,25.0,10.0,-240.0,toxic_cont,time_exit
47,692,693,2024-05-09 17:00:00+00:00,2024-05-09 17:05:00+00:00,LONG,10,18227.75,18220.25,1,-150.0,25.0,10.0,-185.0,toxic_cont,time_exit
48,727,728,2024-05-09 19:55:00+00:00,2024-05-10 13:30:00+00:00,LONG,10,18216.0,18313.75,1,1955.0,25.0,10.0,1920.0,toxic_cont,time_exit
49,730,733,2024-05-10 13:40:00+00:00,2024-05-10 13:55:00+00:00,SHORT,10,18319.75,18329.0,3,-185.0,25.0,10.0,-220.0,toxic_rev,time_exit
50,738,741,2024-05-10 14:20:00+00:00,2024-05-10 14:35:00+00:00,LONG,10,18259.25,18239.25,3,-400.0,25.0,10.0,-435.0,toxic_cont,time_exit
51,779,784,2024-05-10 17:45:00+00:00,2024-05-10 18:10:00+00:00,LONG,10,18224.75,18254.25,5,590.0,25.0,10.0,555.0,toxic_cont,time_exit
52,804,806,2024-05-10 19:50:00+00:00,2024-05-13 13:30:00+00:00,LONG,10,18265.25,18292.5,2,545.0,25.0,10.0,510.0,toxic_cont,time_exit
53,807,809,2024-05-13 13:35:00+00:00,2024-05-13 13:45:00+00:00,SHORT,10,18288.0,18261.25,2,535.0,25.0,10.0,500.0,toxic_rev,time_exit
54,810,812,2024-05-13 13:50:00+00:00,2024-05-13 14:00:00+00:00,LONG,10,18277.0,18298.5,2,430.0,25.0,10.0,395.0,toxic_cont,time_exit
55,849,851,2024-05-13 17:05:00+00:00,2024-05-13 17:15:00+00:00,SHORT,10,18252.25,18283.75,2,-630.0,25.0,10.0,-665.0,toxic_rev,time_exit
56,877,878,2024-05-13 19:25:00+00:00,2024-05-13 19:30:00+00:00,LONG,10,18288.25,18291.25,1,60.0,25.0,10.0,25.0,toxic_cont,time_exit
57,883,884,2024-05-13 19:55:00+00:00,2024-05-14 13:30:00+00:00,LONG,10,18295.75,18286.5,1,-185.0,25.0,10.0,-220.0,toxic_cont,time_exit
58,891,892,2024-05-14 14:05:00+00:00,2024-05-14 14:10:00+00:00,LONG,10,18306.75,18302.75,1,-80.0,25.0,10.0,-115.0,toxic_cont,time_exit
59,894,898,2024-05-14 14:20:00+00:00,2024-05-14 14:40:00+00:00,LONG,10,18344.0,18302.5,4,-830.0,25.0,10.0,-865.0,toxic_cont,time_exit
60,900,901,2024-05-14 14:50:00+00:00,2024-05-14 14:55:00+00:00,LONG,10,18306.25,18339.0,1,655.0,25.0,10.0,620.0,toxic_cont,time_exit
61,940,942,2024-05-14 18:10:00+00:00,2024-05-14 18:20:00+00:00,LONG,10,18375.5,18383.5,2,160.0,25.0,10.0,125.0,toxic_cont,time_exit
62,944,945,2024-05-14 18:30:00+00:00,2024-05-14 18:35:00+00:00,LONG,10,18390.25,18395.25,1,100.0,25.0,10.0,65.0,toxic_cont,time_exit
63,960,962,2024-05-14 19:50:00+00:00,2024-05-15 13:30:00+00:00,LONG,10,18431.0,18522.5,2,1830.0,25.0,10.0,1795.0,toxic_cont,time_exit
64,963,967,2024-05-15 13:35:00+00:00,2024-05-15 13:55:00+00:00,SHORT,10,18504.5,18483.25,4,425.0,25.0,10.0,390.0,toxic_rev,time_exit
65,968,969,2024-05-15 14:00:00+00:00,2024-05-15 14:05:00+00:00,LONG,10,18511.0,18514.0,1,60.0,25.0,10.0,25.0,toxic_cont,time_exit
66,971,973,2024-05-15 14:15:00+00:00,2024-05-15 14:25:00+00:00,LONG,10,18528.5,18530.75,2,45.0,25.0,10.0,10.0,toxic_cont,time_exit
67,1038,1040,2024-05-15 19:50:00+00:00,2024-05-16 13:30:00+00:00,LONG,10,18694.0,18683.75,2,-205.0,25.0,10.0,-240.0,toxic_cont,time_exit
68,1041,1046,2024-05-16 13:35:00+00:00,2024-05-16 14:00:00+00:00,LONG,10,18694.75,18701.5,5,135.0,25.0,10.0,100.0,toxic_cont,time_exit
69,1047,1048,2024-05-16 14:05:00+00:00,2024-05-16 14:10:00+00:00,LONG,10,18697.0,18697.75,1,15.0,25.0,10.0,-20.0,toxic_cont,time_exit
70,1086,1087,2024-05-16 17:20:00+00:00,2024-05-16 17:25:00+00:00,SHORT,10,18681.75,18689.5,1,-155.0,25.0,10.0,-190.0,toxic_rev,time_exit
71,1116,1118,2024-05-16 19:50:00+00:00,2024-05-17 13:30:00+00:00,LONG,10,18687.75,18641.25,2,-930.0,25.0,10.0,-965.0,toxic_cont,time_exit
72,1119,1122,2024-05-17 13:35:00+00:00,2024-05-17 13:50:00+00:00,LONG,10,18662.25,18636.75,3,-510.0,25.0,10.0,-545.0,toxic_cont,time_exit
73,1123,1126,2024-05-17 13:55:00+00:00,2024-05-17 14:10:00+00:00,LONG,10,18638.5,18636.25,3,-45.0,25.0,10.0,-80.0,toxic_cont,time_exit
74,1157,1158,2024-05-17 16:45:00+00:00,2024-05-17 16:50:00+00:00,LONG,10,18628.25,18637.5,1,185.0,25.0,10.0,150.0,toxic_cont,time_exit
75,1175,1177,2024-05-17 18:15:00+00:00,2024-05-17 18:25:00+00:00,LONG,10,18578.0,18571.25,2,-135.0,25.0,10.0,-170.0,toxic_cont,time_exit
76,1183,1184,2024-05-17 18:55:00+00:00,2024-05-17 19:00:00+00:00,LONG,10,18617.5,18620.25,1,55.0,25.0,10.0,20.0,toxic_cont,time_exit
77,1197,1203,2024-05-20 13:35:00+00:00,2024-05-20 14:05:00+00:00,LONG,10,18699.75,18743.0,6,865.0,25.0,10.0,830.0,toxic_cont,time_exit
78,1234,1235,2024-05-20 16:40:00+00:00,2024-05-20 16:45:00+00:00,LONG,10,18777.75,18768.5,1,-185.0,25.0,10.0,-220.0,toxic_cont,time_exit
79,1236,1237,2024-05-20 16:50:00+00:00,2024-05-20 16:55:00+00:00,LONG,10,18785.0,18791.0,1,120.0,25.0,10.0,85.0,toxic_cont,time_exit
80,1244,1245,2024-05-20 17:30:00+00:00,2024-05-20 17:35:00+00:00,LONG,10,18749.75,18743.75,1,-120.0,25.0,10.0,-155.0,toxic_cont,time_exit
81,1251,1252,2024-05-20 18:05:00+00:00,2024-05-20 18:10:00+00:00,LONG,10,18733.25,18734.0,1,15.0,25.0,10.0,-20.0,toxic_cont,time_exit
