,0
85961,-10350.0
85962,-10262.5
85963,-9037.5
85964,-7025.0
85965,-6937.5
85966,-6937.5
85967,-6937.5
85968,-6937.5
85969,-6937.5
85970,-6937.5
85971,-6937.5
85972,-6937.5
85973,-6937.5
85974,-6937.5
85975,-6937.5
85976,-6937.5
85977,-6937.5
85978,-6937.5
85979,-6937.5
85980,-6937.5
85981,-6937.5
85982,-6937.5
85983,-6937.5
85984,-6937.5
85985,-6937.5
85986,-6937.5
85987,-6937.5
85988,-6937.5
85989,-6937.5
85990,-6937.5
85991,-6937.5
85992,-6937.5
85993,-6937.5
85994,-6937.5
85995,-6937.5
85996,-6937.5
85997,-6937.5
85998,-6937.5
85999,-6937.5
86000,-6937.5
86001,-6937.5
86002,-6937.5
86003,-6937.5
86004,-6937.5
86005,-6937.5
86006,-6937.5
86007,-6937.5
86008,-6937.5
86009,-6937.5
86010,-6937.5
86011,-6937.5
86012,-6937.5
86013,-6937.5
86014,-6937.5
86015,-6937.5
86016,-6937.5
86017,-8062.5
86018,-8062.5
86019,-6600.0
86020,-5475.0
86021,-5025.0
86022,-5700.0
86023,-5250.0
86024,-5250.0
86025,-5250.0
86026,-5250.0
86027,-5250.0
86028,-5250.0
86029,-5250.0
86030,-5250.0
86031,-5250.0
86032,-5250.0
86033,-5250.0
86034,-5250.0
86035,-5250.0
86036,-5250.0
86037,-5250.0
86038,-5250.0
86039,-5250.0
86040,-5250.0
86041,-5250.0
86042,-5250.0
86043,-5250.0
86044,-5250.0
86045,-5250.0
86046,-5250.0
86047,-5250.0
86048,-5250.0
86049,-5250.0
86050,-5250.0
86051,-5250.0
86052,-5250.0
86053,-4125.0
86054,-4125.0
86055,-4125.0
86056,-4125.0
86057,-4125.0
86058,-4125.0
86059,-4125.0
86060,-4125.0
86061,-4125.0
86062,-4125.0
86063,-4125.0
86064,-4125.0
86065,-4125.0
86066,-4125.0
86067,-4125.0
86068,-4125.0
86069,-4125.0
86070,-4125.0
86071,-4125.0
86072,-4125.0
86073,-4125.0
86074,-4125.0
86075,-4125.0
86076,-4125.0
86077,-4125.0
86078,-4237.5
86079,-4237.5
86080,-4237.5
86081,-4237.5
86082,-4237.5
86083,-4237.5
86084,-4237.5
86085,-4237.5
86086,-4237.5
86087,-4237.5
86088,-4237.5
86089,-4237.5
86090,-4237.5
86091,-4237.5
86092,-4237.5
86093,-4237.5
86094,-4237.5
86095,-2325.0
86096,-2325.0
86097,-3225.0
86098,-3337.5
86099,-4125.0
86100,-3337.5
86101,-4800.0
86102,-4800.0
86103,-4800.0
86104,-4800.0
86105,-4800.0
86106,-4800.0
86107,-4800.0
86108,-4800.0
86109,-4800.0
